"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2018 Dollars, 2004-05 to 2018-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,
In 2018 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,1-Year % Change,5-Year % Change,,
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$4,570","$4,892","$5,194","$5,353","$5,359","$5,760","$6,081","$6,085","$6,363","$6,349","$6,493","$7,078","$7,464","$7,659","$7,820",2%,23%,,
Alabama,"$3,630","$3,521","$3,450","$3,398","$3,248","$3,322","$3,950","$4,473","$4,497","$4,478","$4,502","$4,556","$4,602","$4,612","$4,760",3%,6%,,"$6,001","$6,167","$6,075","$6,344","$6,837","$7,591","$8,523","$8,925","$9,607","$9,883","$10,027","$10,291","$10,559","$10,964","$10,870",-1%,10%,,
Arkansas,"$2,493","$2,554","$2,594","$2,587","$2,630","$2,783","$2,919","$2,970","$3,073","$3,243","$3,360","$3,593","$3,699","$3,716","$3,700",0%,14%,,"$6,095","$6,423","$6,581","$6,774","$6,775","$6,998","$7,287","$7,422","$7,694","$7,823","$8,032","$8,323","$8,644","$8,802","$8,710",-1%,11%,,
Arizona,"$1,853","$1,963","$2,056","$2,040","$2,086","$2,244","$2,288","$2,399","$2,424","$2,518","$2,571","$2,613","$2,679","$2,677","$2,580",-4%,2%,,"$5,426","$5,718","$5,788","$6,000","$6,397","$7,670","$9,334","$10,524","$10,700","$10,872","$10,996","$11,229","$11,447","$11,541","$11,540",0%,6%,,
California,"$1,075","$1,045",$897,$766,$726,$956,$947,"$1,248","$1,561","$1,537","$1,511","$1,502","$1,493","$1,462","$1,430",-2%,-7%,,"$5,582","$5,837","$5,633","$5,990","$6,228","$7,665","$8,652","$9,964","$9,884","$9,793","$9,701","$9,786","$9,742","$10,089","$9,870",-2%,1%,,
Colorado,"$2,951","$3,080","$2,942","$2,975","$2,921","$3,239","$3,609","$3,786","$3,935","$4,040","$4,125","$4,305","$4,467","$4,447","$4,510",1%,12%,,"$4,967","$5,709","$5,909","$6,575","$6,636","$7,337","$8,182","$8,781","$9,285","$9,813","$9,819","$10,294","$10,772","$11,129","$11,140",0%,14%,,
Connecticut,"$3,201","$3,271","$3,309","$3,421","$3,419","$3,745","$3,939","$3,893","$3,958","$4,084","$4,089","$4,275","$4,385","$4,437","$4,400",-1%,8%,,"$8,430","$8,711","$8,836","$9,163","$9,209","$9,895","$10,377","$10,281","$10,598","$11,038","$11,261","$11,799","$12,337","$12,539","$12,760",2%,16%,,
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$3,353","$3,250","$3,975","$4,561","$4,319","$6,284","$8,092","$7,808","$7,968","$7,827","$7,762","$7,836","$8,214","$8,298","$8,250",-1%,5%,,
Delaware,"$3,338","$3,456","$3,539","$3,625","$3,729","$4,000","$4,131","$4,258","$4,236","$4,369","$4,542","$4,661","$4,746","$4,859","$4,850",0%,11%,,"$8,820","$9,092","$9,168","$9,446","$9,499","$10,546","$11,124","$11,643","$11,998","$12,146","$12,159","$12,329","$12,492","$12,539","$12,700",1%,5%,,
Florida,"$2,368","$2,475","$2,515","$2,457","$2,626","$2,988","$3,205","$3,330","$3,400","$3,389","$3,359","$3,415","$3,386","$3,336","$3,250",-3%,-4%,,"$4,063","$4,144","$4,105","$4,096","$4,382","$5,051","$5,819","$6,273","$6,858","$6,813","$6,700","$6,716","$6,655","$6,548","$6,360",-3%,-7%,,
